drugbank_id,ref_id,title,url
DB00001,,Google books,http://books.google.com/books?id=iadLoXoQkWEC&pg=PA440
DB00001,,Health Canada Approved Drug Products: Refludan (lepirudin) lyophilized powder for intravenous injection,https://pdf.hres.ca/dpd_pm/00004023.PDF
DB00001,,FDA Clinical Pharmacology and Biopharmaceutics Review: Refludan (lepirudin) lyophilized powder for intravenous injection,https://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20807_Refludan_biopharmr.pdf
DB00001,,EMA Summary of Product Characteristics: Refludan (lepirudin) powder for intravenous injection or infusion,https://www.ema.europa.eu/en/documents/product-information/refludan-epar-product-information_en.pdf
DB00001,,Bayer HealthCare: Discontinuation of Refludan [lepirudin (rDNA) for injection],https://www.hrsa.gov/sites/default/files/opa/programrequirements/manufacturerletters/2012/refludan05312012.pdf
DB00002,,Bristol-Myers Squibb Company: Cetuximab Safety Data Sheet,https://imgcdn.mckesson.com/CumulusWeb/Click_and_learn/SDS_9BRMY_ERBITUX.pdf
DB00002,,"FDA Approved Drug Products: ERBITUX (cetuximab) injection, for intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125084s275lbl.pdf
DB00002,,StatPearls: Cetuximab,https://www.ncbi.nlm.nih.gov/books/NBK459293/
DB00002,,"FDA Approved Drug Products: ERBITUX (cetuximab) injection, for intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125084s279lbl.pdf
DB00004,,"FDA Approved Drug Products: LYMPHIR (denileukin diftitox-cxdl) for injection, for intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761312s000lbl.pdf
DB00004,,"FDA Approved Products: ONTAK (denileukin diftitox) injection, for intravenous use (February 2020)",https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103767s5144lbl.pdf
DB00004,,Targeted Oncology: FDA Approves Improved Denileukin Diftitox in Cutaneous T-Cell Lymphoma,https://www.targetedonc.com/view/fda-approves-improved-denileukin-diftitox-in-cutaneous-t-cell-lymphoma
DB00005,,FDA Approved Drug Products: Enbrel (etanercept) injection solution,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103795s5574s5577lbl.pdf
DB00005,,Health Canada Approved Drug Products: RYMTI (etanercept) solution for injection (August 2022),https://pdf.hres.ca/dpd_pm/00068678.PDF
DB00005,,"FDA Approved Drug Products: ENBREL® (etanercept) injection, for subcutaneous use (October 2023)",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103795s5595lbl.pdf
DB00005,,FDA Approved Drug Products: Erelzi (etanercept) injection,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761042s010lbl.pdf
DB00007,,FDA Approved Drug Products: Lupaneta Pack for intramuscular and oral use,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203696s001lbl.pdf
DB00007,,"FDA Approved Drug Products: Lupron Depot (leuprolide acetate) depot suspension, for intramuscular injection","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019732s045,020517s043lbl.pdf"
DB00007,,FDA Approved Drug Products: Lupron Depot-Ped (leuprolide acetate) depot suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020263s046lbl.pdf
DB00007,,FDA Approved Drug Products: Fensolvi (leuprolide acetate) suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213150s000lbl.pdf
DB00007,,"FDA Approved Drug Products: ELIGARD (leuprolide acetate) for injectable suspension, for subcutaneous use","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021343s039,021379s041,021488s036,021731s037lbl.pdf"
DB00007,,FDA Approved Drug Products: Lupron Depot 3.75mg (leuprolide acetate) depot suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019943s034lbl.pdf
DB00007,,FDA Approved Drug Products: Lupron (leuprolide) injection; discontinued,https://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/019010Orig1s000rev.pdf
